text,label
Critical: Your payment of $5814 is needed immediately,P3
Website crashed - customers complaining,P3
UPDATE: ASAP: Send the proposal before 12:00,P3
TODAY: Please pay the outstanding amount of $5554 immediately,P3
Could you send me the presentation when you get a chance?,P2
Please provide feedback on design,P2
How was the conference yesterday?,P1
Deadline is Friday - need your input immediately,P3
Critical: Your payment of $1244 is needed immediately,P3
ASAP: Invoice #INV-4151 overdue - need payment of $777 today,P3
URGENT: Client meeting in 30 minutes - where are you?,P3
ASAP: Send the file before 14:00,P3
NOW: Client meeting in 30 minutes - where are you?,P3
Critical: Your payment of $4895 is needed immediately,P3
Critical: Your payment of $6484 is needed immediately,P3
Follow up on our discussion about budget,P2
Critical: Your payment of $5692 is needed immediately,P3
Did you see the news about budget?,P1
Did you see the news about timeline?,P1
IMMEDIATELY: URGENT: Payment of $8328 due today for invoice #INV-9229,P3
Follow up on our discussion about implementation,P2
Please see the updated presentation,P2
Please pay the outstanding amount of $2606 immediately,P3
IMMEDIATELY: Emergency meeting called for 13:00 - mandatory attendance,P3
Meeting notes from strategy attached,P2
Reminder: report needs to be reviewed by this week,P2
Please review the attached proposal,P2
Please pay the outstanding amount of $8558 immediately,P3
NOW: Please pay the outstanding amount of $8558 immediately,P3
Follow up on our discussion about strategy,P2
ASAP: ASAP: Send the report before 16:00,P3
Would you mind can you please update me on the delta status?,P2
FYI: workshop has been rescheduled to Thursday,P2
IMMEDIATELY: Please pay the outstanding amount of $7745 immediately,P3
Good luck with analysis,P1
Could you send me the proposal when you get a chance?,P2
Best wishes for presentation,P1
Would you mind follow up on our discussion about budget,P2
TODAY: Critical: Your payment of $5692 is needed immediately,P3
Critical: Your payment of $1196 is needed immediately,P3
ASAP: Send the report before 12:00,P3
Update: Alpha is now pending,P2
Nice to hear from you,P1
Invoice #INV-2736 overdue - need payment of $6839 today,P3
Can you please update me on the Phoenix status?,P2
IMMEDIATELY: URGENT: Meeting moved to 13:00 today - confirm attendance,P3
Please confirm your availability for conference,P2
Deadline is this week - need your input immediately,P3
URGENT: Security breach detected - immediate action required,P3
Looking forward to training,P1
Meeting notes from kickoff attached,P2
URGENT: Meeting moved to 16:00 today - confirm attendance,P3
Congratulations on recognition,P1
Could you could you send me the presentation when you get a chance?,P2
Have a wonderful break,P1
URGENT: Payment failed! Please retry ASAP - $2125 pending,P3
Good morning! How was your weekend?,P1
Reminder: file needs to be reviewed by this week,P2
Need your approval on design,P2
Can you please update me on the Delta status?,P2
FYI: meeting has been rescheduled to Wednesday,P2
Could you reminder: presentation needs to be reviewed by friday,P2
IMMEDIATELY: Emergency meeting called for 17:00 - mandatory attendance,P3
TODAY: Client meeting in 30 minutes - where are you?,P3
Could you schedule a meeting to discuss requirements?,P2
Perfect,P1
Can you please update me on the Beta status?,P2
Will do,P1
Did you see the news about strategy?,P1
IMMEDIATELY: CRITICAL: Server down - need immediate attention,P3
Need your approval on plan,P2
Can you help me with research?,P2
Please provide feedback on document,P2
TODAY: CRITICAL: Server down - need immediate attention,P3
URGENT: Meeting moved to 13:00 today - confirm attendance,P3
Could you follow up on our discussion about strategy,P2
URGENT: Payment of $3709 due today for invoice #INV-1785,P3
Please could you send me the file when you get a chance?,P2
TODAY: Deadline is this week - need your input immediately,P3
FYI: training has been rescheduled to Wednesday,P2
UPDATE: Could you send me the file when you get a chance?,P2
Best wishes for conference,P1
Please provide feedback on plan,P2
TODAY: Security breach detected - immediate action required,P3
Reminder: contract needs to be reviewed by Friday,P2
Best wishes for workshop,P1
URGENT: Meeting moved to 12:00 today - confirm attendance,P3
IMPORTANT: Please confirm your availability for conference,P2
NOW: URGENT: Payment of $3709 due today for invoice #INV-1785,P3
IMMEDIATELY: URGENT: Meeting moved to 16:00 today - confirm attendance,P3
Invoice #INV-1223 overdue - need payment of $9464 today,P3
Payment failed! Please retry ASAP - $2125 pending,P3
NOW: Critical: Your payment of $4895 is needed immediately,P3
TODAY: Website crashed - customers complaining,P3
Please see the updated proposal,P2
Welcome back!,P1
Please pay the outstanding amount of $5038 immediately,P3
If possible reminder: contract needs to be reviewed by today,P2
ASAP: Send the contract before 9:00,P3
ASAP: Deadline is Friday - need your input immediately,P3
Please pay the outstanding amount of $7745 immediately,P3
Update: Alpha is now approved,P2
ASAP: Please pay the outstanding amount of $2606 immediately,P3
NOW: Critical: Your payment of $1244 is needed immediately,P3
URGENT: Payment of $7703 due today for invoice #INV-8427,P3
NOW: Security breach detected - immediate action required,P3
ASAP: Send the proposal before 12:00,P3
Update: Gamma is now delayed,P2
If possible can you please update me on the beta status?,P2
IMMEDIATELY: ASAP: Send the proposal before 16:00,P3
